0.0.0.1.2.255	date_time 	
1.0.13.0.0.255	sys_pf 
1.0.1.8.0.255	kwh 
1.0.1.8.1.255	kwh_tz1 
1.0.1.8.2.255	kwh_tz2 
1.0.1.8.3.255	kwh_tz3 
1.0.1.8.4.255	kwh_tz4 
1.0.1.8.5.255	kwh_tz5 
1.0.1.8.6.255	kwh_tz6 
1.0.1.8.7.255	kwh_tz7 
1.0.1.8.8.255	kwh_tz8 
1.0.5.8.0.255	kvarh_lag
1.0.8.8.0.255	kvarh_lead
1.0.9.8.0.255	kvah   
1.0.9.8.1.255	kvah_tz1 
1.0.9.8.2.255	kvah_tz2 
1.0.9.8.3.255	kvah_tz3 
1.0.9.8.4.255	kvah_tz4 
1.0.9.8.5.255	kvah_tz5 
1.0.9.8.6.255	kvah_tz6 
1.0.9.8.7.255	kvah_tz7 
1.0.9.8.8.255	kvah_tz8 
1.0.1.6.0.255	kwmd   
1.0.1.6.1.255	kwmd_tz1 
1.0.1.6.2.255	kwmd_tz2 
1.0.1.6.3.255	kwmd_tz3 
1.0.1.6.4.255	kwmd_tz4 
1.0.1.6.5.255	kwmd_tz5 
1.0.1.6.6.255	kwmd_tz6 
1.0.1.6.7.255	kwmd_tz7 
1.0.1.6.8.255	kwmd_tz8 
1.0.9.6.0.255	kvamd   
1.0.9.6.1.255	kvamd_tz1 
1.0.9.6.2.255	kvamd_tz2 
1.0.9.6.3.255	kvamd_tz3 
1.0.9.6.4.255	kvamd_tz4 
1.0.9.6.5.255	kvamd_tz5 
1.0.9.6.6.255	kvamd_tz6 
1.0.9.6.7.255	kvamd_tz7 
1.0.9.6.8.255	kvamd_tz8
