0.0.1.0.0.255 	date_time
1.0.31.7.0.255	cur_ir 	
1.0.51.7.0.255	cur_iy 	
1.0.71.7.0.255	cur_ib 	
1.0.32.7.0.255	volt_r 	
1.0.52.7.0.255	volt_y    	
1.0.72.7.0.255	volt_b	
1.0.33.7.0.255	pf_r   	
1.0.53.7.0.255	pf_y   	
1.0.73.7.0.255	pf_b   	
1.0.13.7.0.255	pf_avg 	
1.0.14.7.0.255	freq  		
1.0.9.7.0.255	kva    	
1.0.1.7.0.255	kw     		
1.0.3.7.0.255	kvar   	
0.0.96.7.0.255	num_pow_fail
0.0.94.91.8.255	cu_pf_dur
0.0.94.91.0.255	cu_ta_cnt	
0.0.0.1.0.255	cu_bi_cnt 
0.0.96.2.0.255	cu_pr_cnt	
0.0.0.1.2.255	bill_date 
1.0.1.8.0.255	kwh   		
1.0.5.8.0.255	kvarh_lag	
1.0.8.8.0.255	kvarh_lead	
1.0.9.8.0.255	kvah   	
1.0.1.6.0.255	kwmd   		
1.0.9.6.0.255	kvamd 
